period,value
1990.1,0.68
1990.2,0.68
1990.3,0.68
1990.4,0.68
1991.1,0.68
1991.2,0.68
1991.3,0.68
1991.4,0.68
1992.1,0.68
1992.2,0.68
1992.3,0.68
1992.4,0.68
1993.1,0.68
1993.2,0.68
1993.3,0.68
1993.4,0.68
1994.1,0.68
1994.2,0.68
1994.3,0.68
1994.4,0.68
1995.1,0.68
1995.2,0.68
1995.3,0.68
1995.4,0.68
1996.1,0.68
1996.2,0.68
1996.3,0.68
1996.4,0.68
1997.1,0.68
1997.2,0.68
1997.3,0.68
1997.4,0.68
1998.1,0.68
1998.2,0.68
1998.3,0.68
1998.4,0.68
1999.1,0.68
1999.2,0.68
1999.3,0.68
1999.4,0.68
2000.1,0.68
2000.2,0.68
2000.3,0.68
2000.4,0.68
2001.1,0.68
2001.2,0.68
2001.3,0.68
2001.4,0.68
2002.1,0.68
2002.2,0.68
2002.3,0.68
2002.4,0.68
2003.1,0.68
2003.2,0.68
2003.3,0.68
2003.4,0.68
2004.1,0.68
2004.2,0.68
2004.3,0.68
2004.4,0.68
2005.1,0.68
2005.2,0.68
2005.3,0.68
2005.4,0.68
2006.1,0.68
2006.2,0.68
2006.3,0.68
2006.4,0.68
2007.1,0.68
2007.2,0.68
2007.3,0.68
2007.4,0.68
2008.1,0.68
2008.2,0.68
2008.3,0.68
2008.4,0.68
2009.1,0.68
2009.2,0.68
2009.3,0.68
2009.4,0.68
2010.1,0.68
2010.2,0.68
2010.3,0.68
2010.4,0.68
2011.1,0.68
2011.2,0.68
2011.3,0.68
2011.4,0.68
2012.1,0.68
2012.2,0.68
2012.3,0.68
2012.4,0.68
2013.1,0.68
2013.2,0.68
2013.3,0.68
2013.4,0.68
2014.1,0.68
2014.2,0.68
2014.3,0.68
2014.4,0.68
2015.1,0.68
2015.2,0.68
2015.3,0.68
2015.4,0.68
2016.1,0.7
2016.2,0.7
2016.3,0.7
2016.4,0.7
2017.1,0.74
2017.2,0.74
2017.3,0.74
2017.4,0.74
2018.1,0.78
2018.2,0.78
2018.3,0.78
2018.4,0.78
2019.1,0.82
2019.2,0.82
2019.3,0.82
2019.4,0.82
2020.1,0.86
2020.2,0.86
2020.3,0.86
2020.4,0.86
2021.1,0.95
2021.2,0.95
2021.3,0.95
2021.4,0.95
2022.1,0.92
2022.2,0.92
2022.3,0.92
2022.4,0.92
2023.1,0.95
2023.2,0.95
2023.3,0.95
2023.4,0.95
2024.1,1
2024.2,1
2024.3,1
2024.4,1
2025.1,1.03
2025.2,1.03
2025.3,1.03
2025.4,1.03
2026.1,1.03
2026.2,1.03
2026.3,1.03
2026.4,1.03
2027.1,1.03
2027.2,1.03
2027.3,1.03
2027.4,1.03
2028.1,1.03
2028.2,1.03
2028.3,1.03
2028.4,1.03
2029.1,1.03
2029.2,1.03
2029.3,1.03
2029.4,1.03
